node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA1	HSD17B10	9606.ENSP00000333664	9606.ENSP00000168216	0	0	0	0	0.130	0.057	0	0	0.144
ACAA1	UQCRC1	9606.ENSP00000333664	9606.ENSP00000203407	0	0	0	0	0.140	0	0	0	0.140
ACAA1	TECR	9606.ENSP00000333664	9606.ENSP00000215567	0	0	0	0	0.087	0	0	0	0.086
ACAA1	ACO2	9606.ENSP00000333664	9606.ENSP00000216254	0	0	0	0	0.062	0	0	0	0.061
ACAA1	GAPDHS	9606.ENSP00000333664	9606.ENSP00000222286	0	0	0	0	0.061	0	0	0	0.060
ACAA1	C1QBP	9606.ENSP00000333664	9606.ENSP00000225698	0	0	0	0	0	0	0	0	0.041
ACAA1	GAPDH	9606.ENSP00000333664	9606.ENSP00000229239	0	0	0	0	0.061	0	0	0	0.060
ACAA1	EHHADH	9606.ENSP00000333664	9606.ENSP00000231887	0	0	0	0	0.166	0.296	0	0	0.387
ACAA1	ACADL	9606.ENSP00000333664	9606.ENSP00000233710	0	0	0	0	0.158	0	0	0	0.157
ACAA1	ACOT2	9606.ENSP00000333664	9606.ENSP00000238651	0	0	0	0	0.062	0	0	0	0.061
ACAA1	ACADS	9606.ENSP00000333664	9606.ENSP00000242592	0	0	0	0	0.225	0	0	0	0.225
ACAA1	GOT2	9606.ENSP00000333664	9606.ENSP00000245206	0	0	0	0	0.079	0	0	0	0.078
ACAA1	COX6B1	9606.ENSP00000333664	9606.ENSP00000246554	0	0	0	0	0.064	0.187	0	0	0.206
ACAA1	APOE	9606.ENSP00000333664	9606.ENSP00000252486	0	0	0	0	0.062	0	0	0	0.061
ACAA1	COX5B	9606.ENSP00000333664	9606.ENSP00000258424	0	0	0	0	0.085	0	0	0	0.085
ACAA1	ATP5B	9606.ENSP00000333664	9606.ENSP00000262030	0	0	0	0	0.103	0	0	0	0.103
ACAA1	ACAT1	9606.ENSP00000333664	9606.ENSP00000265838	0	0	0	0.767	0.090	0	0	0	0.090
ACAA1	RPS27A	9606.ENSP00000333664	9606.ENSP00000272317	0	0	0	0	0	0.064	0	0	0.063
ACAA1	CTDSPL	9606.ENSP00000333664	9606.ENSP00000273179	0	0	0	0	0.061	0	0	0	0.060
ACAA1	GLUD1	9606.ENSP00000333664	9606.ENSP00000277865	0	0	0	0	0.087	0.050	0	0	0.095
ACAA1	RPS3	9606.ENSP00000333664	9606.ENSP00000278572	0	0	0	0	0.095	0	0	0	0.095
ACAA1	ACAA2	9606.ENSP00000333664	9606.ENSP00000285093	0	0	0	0.845	0.085	0	0	0	0.085
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0	0	0	0	0.371	0	0	0	0.371
ACAA1	RPS23	9606.ENSP00000333664	9606.ENSP00000296674	0	0	0	0	0.063	0	0	0	0.062
ACAA1	UQCRFS1	9606.ENSP00000333664	9606.ENSP00000306397	0	0	0	0	0.068	0	0	0	0.068
ACAA1	CYCS	9606.ENSP00000333664	9606.ENSP00000307786	0	0	0	0	0.063	0	0	0	0.062
ACAA1	TUFM	9606.ENSP00000333664	9606.ENSP00000322439	0	0	0	0	0.148	0	0	0	0.147
ACAA1	HMGCS1	9606.ENSP00000333664	9606.ENSP00000322706	0	0	0	0	0.143	0.370	0	0	0.437
ACAA1	ACOT4	9606.ENSP00000333664	9606.ENSP00000323071	0	0	0	0	0.063	0	0	0	0.062
ACAA1	HADHB	9606.ENSP00000333664	9606.ENSP00000325136	0	0	0	0.797	0.091	0	0	0	0.091
ACAA1	MDH2	9606.ENSP00000333664	9606.ENSP00000327070	0	0	0	0	0.081	0.050	0	0	0.089
ACAA1	GLUD2	9606.ENSP00000333664	9606.ENSP00000327589	0	0	0	0	0.087	0.050	0	0	0.095
ACAA1	IDH2	9606.ENSP00000333664	9606.ENSP00000331897	0	0	0	0	0.112	0	0	0	0.112
ACAA1	ACOT7	9606.ENSP00000333664	9606.ENSP00000367086	0	0	0	0	0.049	0	0	0	0.048
ACAA1	HBD	9606.ENSP00000333664	9606.ENSP00000369654	0	0	0	0	0	0	0	0	0.041
ACAA1	PHB	9606.ENSP00000333664	9606.ENSP00000479488	0	0	0	0	0.063	0	0	0	0.062
ACAA1	SLC25A6	9606.ENSP00000333664	9606.ENSP00000370808	0	0	0	0	0.063	0	0	0	0.062
ACAA1	EEF1A1	9606.ENSP00000333664	9606.ENSP00000339063	0	0	0	0	0.057	0	0	0	0.056
ACAA1	MDH1	9606.ENSP00000333664	9606.ENSP00000438144	0	0	0	0	0.064	0.050	0	0	0.072
ACAA1	ATP5A1	9606.ENSP00000333664	9606.ENSP00000381736	0	0	0	0	0.117	0	0	0	0.117
ACAA1	IDH1	9606.ENSP00000333664	9606.ENSP00000390265	0	0	0	0	0.112	0	0	0	0.112
ACAA1	MT-CO3	9606.ENSP00000333664	9606.ENSP00000354982	0	0	0	0	0	0	0	0	0.041
ACAA1	ATP5C1	9606.ENSP00000333664	9606.ENSP00000349142	0	0	0	0	0.084	0	0	0	0.084
ACAA1	ACSL6	9606.ENSP00000333664	9606.ENSP00000368566	0	0	0	0	0.309	0	0	0	0.309
ACAA1	HP	9606.ENSP00000333664	9606.ENSP00000348170	0	0	0	0	0.062	0.061	0	0	0.081
ACAA1	ACAT2	9606.ENSP00000333664	9606.ENSP00000356015	0	0	0	0.860	0.086	0	0	0	0.085
ACAA1	HMGCS2	9606.ENSP00000333664	9606.ENSP00000358414	0	0	0	0	0.143	0.370	0	0	0.437
