#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CENPA	HIST1H3A	9606.ENSP00000336868	9606.ENSP00000480826	0	0	0	0.905	0	0	0.900	0.468	0.904
CENPA	HIST1H3F	9606.ENSP00000336868	9606.ENSP00000484095	0	0	0	0.905	0	0	0.900	0.450	0.904
CENPA	HIST1H3D	9606.ENSP00000336868	9606.ENSP00000366999	0	0	0	0.905	0	0	0.900	0.669	0.906
CENPA	HIST1H3J	9606.ENSP00000336868	9606.ENSP00000352252	0	0	0	0.905	0.063	0	0.900	0.468	0.906
CENPA	HIST1H3B	9606.ENSP00000336868	9606.ENSP00000484841	0	0	0	0.905	0.076	0	0.900	0.468	0.907
CENPA	HIST1H3G	9606.ENSP00000336868	9606.ENSP00000484638	0	0	0	0.905	0.070	0	0.900	0.468	0.907
CENPA	HIST1H3E	9606.ENSP00000336868	9606.ENSP00000482271	0	0	0	0.905	0	0.131	0.900	0.669	0.915
CENPA	HIST1H3C	9606.ENSP00000336868	9606.ENSP00000484658	0	0	0	0.905	0	0.379	0.900	0.669	0.939
CENPA	H3F3A	9606.ENSP00000336868	9606.ENSP00000355778	0	0	0	0.904	0	0.858	0.900	0.440	0.985
CENPA	HIST1H4A	9606.ENSP00000336868	9606.ENSP00000479106	0	0	0	0	0	0.900	0.900	0.582	0.995
H3F3A	HIST1H3J	9606.ENSP00000355778	9606.ENSP00000352252	0	0	0	0.984	0	0.894	0.900	0.730	0.989
H3F3A	HIST1H3D	9606.ENSP00000355778	9606.ENSP00000366999	0	0	0	0.984	0	0.894	0.900	0.789	0.989
H3F3A	HIST1H3B	9606.ENSP00000355778	9606.ENSP00000484841	0	0	0	0.984	0.117	0.894	0.900	0.731	0.989
H3F3A	HIST1H3C	9606.ENSP00000355778	9606.ENSP00000484658	0	0	0	0.984	0	0.894	0.900	0.790	0.989
H3F3A	HIST1H3A	9606.ENSP00000355778	9606.ENSP00000480826	0	0	0	0.984	0	0.894	0.900	0.729	0.989
H3F3A	HIST1H3G	9606.ENSP00000355778	9606.ENSP00000484638	0	0	0	0.984	0	0.894	0.900	0.725	0.989
H3F3A	HIST1H3E	9606.ENSP00000355778	9606.ENSP00000482271	0	0	0	0.984	0	0.894	0.900	0.790	0.989
H3F3A	HIST1H3F	9606.ENSP00000355778	9606.ENSP00000484095	0	0	0	0.984	0	0.894	0.900	0.729	0.989
H3F3A	HIST1H4A	9606.ENSP00000355778	9606.ENSP00000479106	0	0.007	0	0	0.107	0.904	0.900	0.505	0.995
HIST1H3A	HIST1H3J	9606.ENSP00000480826	9606.ENSP00000352252	0	0	0	0.985	0.212	0.800	0.900	0	0.982
HIST1H3A	HIST1H3D	9606.ENSP00000480826	9606.ENSP00000366999	0	0	0	0.985	0.098	0.847	0.900	0.403	0.985
HIST1H3A	HIST1H4A	9606.ENSP00000480826	9606.ENSP00000479106	0	0.008	0	0	0.382	0.904	0.900	0.586	0.997
HIST1H3A	HIST1H3E	9606.ENSP00000480826	9606.ENSP00000482271	0	0	0	0.985	0.078	0.800	0.900	0.421	0.980
HIST1H3A	HIST1H3G	9606.ENSP00000480826	9606.ENSP00000484638	0	0	0	0.985	0.152	0.800	0.900	0	0.981
HIST1H3A	HIST1H3C	9606.ENSP00000480826	9606.ENSP00000484658	0	0	0	0.985	0.214	0.800	0.900	0.412	0.983
HIST1H3A	HIST1H3B	9606.ENSP00000480826	9606.ENSP00000484841	0	0	0	0.985	0.336	0.800	0.900	0	0.985
