#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOT1	TECR	9606.ENSP00000311224	9606.ENSP00000215567	0	0	0	0	0.062	0	0.900	0	0.902
ACOT1	ACOT2	9606.ENSP00000311224	9606.ENSP00000238651	0	0	0.449	0.987	0.450	0.685	0.800	0.905	0.962
ACOT1	ACOT4	9606.ENSP00000311224	9606.ENSP00000323071	0	0	0.438	0.974	0.135	0	0.800	0.630	0.824
ACOT1	ACOT7	9606.ENSP00000311224	9606.ENSP00000367086	0	0	0	0	0.051	0	0.800	0.715	0.941
ACOT2	TECR	9606.ENSP00000238651	9606.ENSP00000215567	0	0	0	0	0.062	0	0.900	0	0.902
ACOT2	ACOT7	9606.ENSP00000238651	9606.ENSP00000367086	0	0	0	0	0.051	0	0.800	0.425	0.881
ACOT2	ACOT4	9606.ENSP00000238651	9606.ENSP00000323071	0	0	0.433	0.974	0.128	0	0.900	0.669	0.911
ACOT4	TECR	9606.ENSP00000323071	9606.ENSP00000215567	0	0	0	0	0.062	0	0.900	0	0.902
ACOT4	ACOT7	9606.ENSP00000323071	9606.ENSP00000367086	0	0	0	0	0.051	0	0.800	0.364	0.868
ACOT7	TECR	9606.ENSP00000367086	9606.ENSP00000215567	0	0	0	0	0	0	0.900	0	0.900
ACOT7	GAPDH	9606.ENSP00000367086	9606.ENSP00000229239	0	0	0	0	0.119	0.140	0	0.539	0.620
ACOT7	UBXN1	9606.ENSP00000367086	9606.ENSP00000294119	0	0	0	0	0	0.728	0	0	0.728
ACOT7	SLC17A8	9606.ENSP00000367086	9606.ENSP00000316909	0	0	0	0	0	0	0	0.627	0.627
ACOT7	GABRA1	9606.ENSP00000367086	9606.ENSP00000393097	0	0	0	0	0	0	0	0.623	0.623
ACOT7	ANO4	9606.ENSP00000367086	9606.ENSP00000376703	0	0	0	0	0	0	0	0.629	0.629
ACOT7	ACSL6	9606.ENSP00000367086	9606.ENSP00000368566	0.070	0	0	0	0.063	0	0	0.636	0.655
ANO4	SLC17A8	9606.ENSP00000376703	9606.ENSP00000316909	0	0	0	0	0.049	0	0	0.800	0.801
GABRA1	GAPDH	9606.ENSP00000393097	9606.ENSP00000229239	0	0	0	0	0	0	0	0.469	0.469
