#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EEF1A1	RPL19	9606.ENSP00000339063	9606.ENSP00000225430	0	0	0.294	0	0.762	0.958	0.900	0.211	0.999
EEF1A1	RPS12	9606.ENSP00000339063	9606.ENSP00000230050	0	0	0	0	0.836	0.958	0.900	0.452	0.999
EEF1A1	RPS16	9606.ENSP00000339063	9606.ENSP00000251453	0	0	0	0	0.895	0.972	0.900	0.174	0.999
EEF1A1	RPL8	9606.ENSP00000339063	9606.ENSP00000262584	0	0	0.337	0	0.828	0.960	0.900	0.511	0.999
EEF1A1	RPS11	9606.ENSP00000339063	9606.ENSP00000270625	0	0	0.271	0	0.766	0.973	0.900	0.305	0.999
EEF1A1	RPS27A	9606.ENSP00000339063	9606.ENSP00000272317	0	0	0	0	0.739	0.959	0.900	0.501	0.999
EEF1A1	RPS3	9606.ENSP00000339063	9606.ENSP00000278572	0	0	0.212	0	0.956	0.807	0.900	0.396	0.999
EEF1A1	RPS23	9606.ENSP00000339063	9606.ENSP00000296674	0.093	0	0.272	0	0.664	0.972	0.900	0.446	0.999
EEF1A1	RPS9	9606.ENSP00000339063	9606.ENSP00000302896	0	0	0	0	0.780	0.959	0.900	0.440	0.999
EEF1A1	RPL15	9606.ENSP00000339063	9606.ENSP00000309334	0	0	0.301	0	0.934	0.971	0.900	0.304	0.999
RPL15	RPL19	9606.ENSP00000309334	9606.ENSP00000225430	0	0	0.405	0	0.995	0.991	0.900	0.814	0.999
RPL15	RPS12	9606.ENSP00000309334	9606.ENSP00000230050	0	0	0	0	0.996	0.991	0.900	0.177	0.999
RPL15	RPS16	9606.ENSP00000309334	9606.ENSP00000251453	0	0	0	0	0.993	0.992	0.900	0.348	0.999
RPL15	RPL8	9606.ENSP00000309334	9606.ENSP00000262584	0	0	0.320	0	0.993	0.992	0.900	0.567	0.999
RPL15	RPS11	9606.ENSP00000309334	9606.ENSP00000270625	0	0	0.246	0	0.993	0.992	0.900	0.413	0.999
RPL15	RPS27A	9606.ENSP00000309334	9606.ENSP00000272317	0	0	0	0	0.969	0.991	0.900	0.183	0.999
RPL15	RPS3	9606.ENSP00000309334	9606.ENSP00000278572	0	0	0.343	0	0.995	0.963	0.900	0.782	0.999
RPL15	RPS23	9606.ENSP00000309334	9606.ENSP00000296674	0	0	0.226	0	0.992	0.991	0.900	0.747	0.999
RPL15	RPS9	9606.ENSP00000309334	9606.ENSP00000302896	0	0	0.262	0	0.992	0.992	0.900	0.553	0.999
RPL19	RPS3	9606.ENSP00000225430	9606.ENSP00000278572	0.295	0	0.310	0	0.996	0.962	0.900	0.602	0.999
RPL19	RPS27A	9606.ENSP00000225430	9606.ENSP00000272317	0	0	0	0	0.982	0.991	0.900	0.384	0.999
RPL19	RPL8	9606.ENSP00000225430	9606.ENSP00000262584	0.219	0	0.350	0	0.996	0.992	0.900	0.583	0.999
RPL19	RPS9	9606.ENSP00000225430	9606.ENSP00000302896	0	0	0	0	0.977	0.991	0.900	0.587	0.999
RPL19	RPS23	9606.ENSP00000225430	9606.ENSP00000296674	0	0	0.221	0	0.994	0.991	0.900	0.729	0.999
RPL19	RPS16	9606.ENSP00000225430	9606.ENSP00000251453	0	0	0	0	0.997	0.991	0.900	0.707	0.999
RPL19	RPS12	9606.ENSP00000225430	9606.ENSP00000230050	0	0	0	0	0.997	0.994	0.900	0.177	0.999
RPL19	RPS11	9606.ENSP00000225430	9606.ENSP00000270625	0.295	0	0	0	0.997	0.992	0.900	0.894	0.999
RPL8	RPS12	9606.ENSP00000262584	9606.ENSP00000230050	0.078	0	0	0	0.999	0.960	0.900	0.332	0.999
RPL8	RPS16	9606.ENSP00000262584	9606.ENSP00000251453	0.135	0	0	0	0.996	0.992	0.900	0.752	0.999
RPL8	RPS3	9606.ENSP00000262584	9606.ENSP00000278572	0.219	0	0.219	0	0.997	0.964	0.900	0.719	0.999
RPL8	RPS23	9606.ENSP00000262584	9606.ENSP00000296674	0.167	0	0	0	0.993	0.992	0.900	0.776	0.999
