#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AFG3L2	PMPCB	9606.ENSP00000269143	9606.ENSP00000249269	0.041	0	0	0	0.083	0.070	0.900	0.613	0.962
AFG3L2	SPG7	9606.ENSP00000269143	9606.ENSP00000268704	0	0	0.425	0.879	0.098	0	0.900	0.962	0.920
AFG3L2	STOML2	9606.ENSP00000269143	9606.ENSP00000348886	0	0	0	0	0.272	0.190	0	0.313	0.560
AFG3L2	TUFM	9606.ENSP00000269143	9606.ENSP00000322439	0	0	0.389	0	0.145	0	0	0.437	0.680
AFG3L2	PMPCA	9606.ENSP00000269143	9606.ENSP00000360782	0.041	0	0	0	0.215	0.070	0.900	0.399	0.950
AFG3L2	PHB	9606.ENSP00000269143	9606.ENSP00000479488	0	0	0	0	0.167	0.654	0.900	0.446	0.981
AFG3L2	PHB2	9606.ENSP00000269143	9606.ENSP00000441875	0	0	0	0	0.286	0.614	0.900	0.640	0.988
C1QBP	STOML2	9606.ENSP00000225698	9606.ENSP00000348886	0	0	0	0	0.395	0.050	0	0.050	0.406
C1QBP	TUFM	9606.ENSP00000225698	9606.ENSP00000322439	0	0	0	0	0.789	0.227	0	0.175	0.853
C1QBP	PHB	9606.ENSP00000225698	9606.ENSP00000479488	0	0	0	0	0.855	0.234	0	0.195	0.903
C1QBP	PHB2	9606.ENSP00000225698	9606.ENSP00000441875	0	0	0	0	0.886	0.234	0	0.155	0.920
ESR1	PHB	9606.ENSP00000405330	9606.ENSP00000479488	0	0	0	0	0	0.294	0	0.269	0.462
ESR1	PHB2	9606.ENSP00000405330	9606.ENSP00000441875	0	0	0	0	0	0.379	0.900	0.479	0.964
PHB	UQCRC1	9606.ENSP00000479488	9606.ENSP00000203407	0.056	0	0	0	0.208	0.084	0	0.282	0.443
PHB	PMPCB	9606.ENSP00000479488	9606.ENSP00000249269	0.056	0	0	0	0.087	0.084	0.900	0.053	0.911
PHB	SPG7	9606.ENSP00000479488	9606.ENSP00000268704	0	0	0	0	0.115	0.374	0.900	0.483	0.967
PHB	TUFM	9606.ENSP00000479488	9606.ENSP00000322439	0	0	0	0	0.644	0.050	0	0.504	0.818
PHB	STOML2	9606.ENSP00000479488	9606.ENSP00000348886	0	0	0	0	0.499	0.416	0	0.736	0.916
PHB	PMPCA	9606.ENSP00000479488	9606.ENSP00000360782	0.056	0	0	0	0.181	0.084	0.900	0	0.919
PHB	PHB2	9606.ENSP00000479488	9606.ENSP00000441875	0	0	0.420	0.940	0.985	0.907	0.900	0.934	0.999
PHB2	UQCRC1	9606.ENSP00000441875	9606.ENSP00000203407	0.056	0	0	0	0.677	0.840	0	0.139	0.952
PHB2	PMPCB	9606.ENSP00000441875	9606.ENSP00000249269	0.056	0	0	0	0.309	0.184	0.900	0.056	0.940
PHB2	SPG7	9606.ENSP00000441875	9606.ENSP00000268704	0	0	0	0	0.232	0.364	0.900	0.632	0.979
PHB2	TUFM	9606.ENSP00000441875	9606.ENSP00000322439	0	0	0	0	0.876	0.392	0	0.109	0.927
PHB2	STOML2	9606.ENSP00000441875	9606.ENSP00000348886	0	0	0	0	0.571	0.525	0	0.704	0.934
PHB2	PMPCA	9606.ENSP00000441875	9606.ENSP00000360782	0.056	0	0	0	0.309	0.084	0.900	0.082	0.935
PMPCA	UQCRC1	9606.ENSP00000360782	9606.ENSP00000203407	0	0	0.419	0.711	0.463	0.830	0	0.667	0.931
PMPCA	PMPCB	9606.ENSP00000360782	9606.ENSP00000249269	0	0	0.427	0.739	0.499	0.993	0.900	0.915	0.999
PMPCA	SPG7	9606.ENSP00000360782	9606.ENSP00000268704	0.041	0	0	0	0.147	0.070	0.900	0.281	0.935
PMPCA	TUFM	9606.ENSP00000360782	9606.ENSP00000322439	0	0	0	0	0.376	0.050	0	0.216	0.494
PMPCB	UQCRC1	9606.ENSP00000249269	9606.ENSP00000203407	0	0	0.448	0.957	0.062	0	0.540	0.213	0.561
PMPCB	STOML2	9606.ENSP00000249269	9606.ENSP00000348886	0.056	0	0	0	0.112	0.084	0	0.383	0.463
PMPCB	TUFM	9606.ENSP00000249269	9606.ENSP00000322439	0	0	0	0	0.560	0.050	0	0.130	0.604
PMPCB	SPG7	9606.ENSP00000249269	9606.ENSP00000268704	0.041	0	0	0	0.083	0.070	0.900	0.320	0.934
SPG7	TUFM	9606.ENSP00000268704	9606.ENSP00000322439	0	0	0.374	0	0.129	0	0	0.424	0.659
STOML2	UQCRC1	9606.ENSP00000348886	9606.ENSP00000203407	0.056	0	0	0	0.321	0.084	0	0.203	0.470
STOML2	TUFM	9606.ENSP00000348886	9606.ENSP00000322439	0	0	0	0	0.617	0.050	0	0.211	0.688
TUFM	UQCRC1	9606.ENSP00000322439	9606.ENSP00000203407	0	0	0	0	0.882	0.050	0	0.408	0.928
