#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHSP	HBQ1	9606.ENSP00000307199	9606.ENSP00000199708	0	0	0	0	0.647	0.088	0.720	0.504	0.949
AHSP	HBA2	9606.ENSP00000307199	9606.ENSP00000251595	0	0	0	0	0.197	0.883	0.720	0.557	0.986
AHSP	CYB5R3	9606.ENSP00000307199	9606.ENSP00000354468	0	0	0	0	0	0	0.720	0.179	0.760
AHSP	HBG2	9606.ENSP00000307199	9606.ENSP00000369609	0	0	0	0	0.321	0.088	0.360	0.536	0.791
AHSP	HBB	9606.ENSP00000307199	9606.ENSP00000333994	0	0	0	0	0.163	0.088	0.720	0.586	0.899
AHSP	HBE1	9606.ENSP00000307199	9606.ENSP00000369586	0	0	0	0	0.095	0.088	0.720	0.717	0.925
AHSP	HBD	9606.ENSP00000307199	9606.ENSP00000369654	0	0	0	0	0.780	0.088	0.720	0.420	0.963
AHSP	HBA1	9606.ENSP00000307199	9606.ENSP00000322421	0	0	0	0	0.200	0.883	0.720	0.559	0.987
CYB5R3	HBQ1	9606.ENSP00000354468	9606.ENSP00000199708	0	0	0	0	0.061	0.076	0.720	0	0.735
CYB5R3	HBA2	9606.ENSP00000354468	9606.ENSP00000251595	0	0	0	0	0.061	0.159	0.720	0.469	0.866
CYB5R3	HBA1	9606.ENSP00000354468	9606.ENSP00000322421	0	0	0	0	0.061	0.455	0.720	0.469	0.913
CYB5R3	HBB	9606.ENSP00000354468	9606.ENSP00000333994	0	0	0	0	0.061	0.076	0.720	0.319	0.812
CYB5R3	HBG2	9606.ENSP00000354468	9606.ENSP00000369609	0	0	0	0	0.061	0.401	0.360	0	0.609
CYB5R3	HBE1	9606.ENSP00000354468	9606.ENSP00000369586	0	0	0	0	0.061	0.076	0.720	0	0.735
CYB5R3	HBD	9606.ENSP00000354468	9606.ENSP00000369654	0	0	0	0	0.061	0.076	0.720	0	0.735
HBA1	HBQ1	9606.ENSP00000322421	9606.ENSP00000199708	0	0	0	0.961	0.140	0.771	0.720	0.756	0.941
HBA1	RPS12	9606.ENSP00000322421	9606.ENSP00000230050	0	0	0	0	0	0.067	0.900	0.220	0.920
HBA1	HBA2	9606.ENSP00000322421	9606.ENSP00000251595	0	0	0	0.985	0.771	0.800	0.900	0.538	0.995
HBA1	HP	9606.ENSP00000322421	9606.ENSP00000348170	0	0	0	0	0.074	0.846	0.720	0.491	0.977
HBA1	HBG2	9606.ENSP00000322421	9606.ENSP00000369609	0	0	0	0.898	0.342	0.985	0.360	0.672	0.994
HBA1	HBD	9606.ENSP00000322421	9606.ENSP00000369654	0	0	0	0.900	0.338	0.972	0.720	0.598	0.994
HBA1	HBE1	9606.ENSP00000322421	9606.ENSP00000369586	0	0	0	0.876	0.181	0.985	0.720	0.684	0.996
HBA1	HBB	9606.ENSP00000322421	9606.ENSP00000333994	0	0	0	0.900	0.786	0.989	0.800	0.905	0.999
HBA2	HBQ1	9606.ENSP00000251595	9606.ENSP00000199708	0	0	0	0.961	0.139	0	0.720	0.756	0.755
HBA2	RPS12	9606.ENSP00000251595	9606.ENSP00000230050	0	0	0	0	0	0.067	0.900	0.220	0.920
HBA2	HP	9606.ENSP00000251595	9606.ENSP00000348170	0	0	0	0	0.056	0.846	0.720	0.490	0.976
HBA2	HBG2	9606.ENSP00000251595	9606.ENSP00000369609	0	0	0	0.898	0.220	0.958	0.360	0.683	0.979
HBA2	HBD	9606.ENSP00000251595	9606.ENSP00000369654	0	0	0	0.900	0.292	0.946	0.720	0.596	0.989
HBA2	HBE1	9606.ENSP00000251595	9606.ENSP00000369586	0	0	0	0.876	0.151	0.958	0.720	0.684	0.990
HBA2	HBB	9606.ENSP00000251595	9606.ENSP00000333994	0	0	0	0.900	0.570	0.965	0.720	0.906	0.995
HBB	HBQ1	9606.ENSP00000333994	9606.ENSP00000199708	0	0	0	0.868	0.065	0.810	0.720	0.701	0.950
HBB	HBE1	9606.ENSP00000333994	9606.ENSP00000369586	0	0	0	0.976	0	0	0.900	0.860	0.902
HBB	HBD	9606.ENSP00000333994	9606.ENSP00000369654	0	0	0	0.983	0.270	0	0.900	0.642	0.924
HBB	HBG2	9606.ENSP00000333994	9606.ENSP00000369609	0	0	0	0.975	0.141	0.379	0.900	0.754	0.943
HBB	HP	9606.ENSP00000333994	9606.ENSP00000348170	0	0	0	0	0.060	0.889	0.900	0.448	0.993
HBD	HBQ1	9606.ENSP00000369654	9606.ENSP00000199708	0	0	0	0.874	0.364	0.260	0.720	0.700	0.869
HBD	HP	9606.ENSP00000369654	9606.ENSP00000348170	0	0	0	0	0.060	0.186	0	0.320	0.434
HBD	HBE1	9606.ENSP00000369654	9606.ENSP00000369586	0	0	0	0.974	0.137	0	0.900	0.836	0.911
HBD	HBG2	9606.ENSP00000369654	9606.ENSP00000369609	0	0	0	0.974	0.558	0	0.900	0.653	0.954
HBE1	HBQ1	9606.ENSP00000369586	9606.ENSP00000199708	0	0	0	0.872	0.088	0.810	0.720	0.728	0.952
HBE1	HP	9606.ENSP00000369586	9606.ENSP00000348170	0	0	0	0	0.100	0.127	0	0.355	0.448
HBE1	HBG2	9606.ENSP00000369586	9606.ENSP00000369609	0	0	0	0.978	0.334	0	0.900	0.716	0.931
HBG2	HBQ1	9606.ENSP00000369609	9606.ENSP00000199708	0	0	0	0.878	0.138	0.793	0.360	0.630	0.885
