#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAP1	CNP	9606.ENSP00000442682	9606.ENSP00000377470	0	0	0	0	0.061	0	0	0.717	0.723
CNP	PLLP	9606.ENSP00000377470	9606.ENSP00000219207	0	0	0	0	0.064	0	0	0.642	0.651
CNP	HAND1	9606.ENSP00000377470	9606.ENSP00000231121	0	0	0	0	0	0	0	0.639	0.639
CNP	OLIG2	9606.ENSP00000377470	9606.ENSP00000331040	0	0	0	0	0.101	0	0	0.659	0.681
CNP	MAG	9606.ENSP00000377470	9606.ENSP00000376048	0	0	0	0	0.153	0	0	0.742	0.772
CNP	NPPC	9606.ENSP00000377470	9606.ENSP00000387159	0	0	0	0	0	0	0	0.677	0.677
CNP	GFAP	9606.ENSP00000377470	9606.ENSP00000468500	0	0	0	0	0.148	0	0	0.680	0.716
CNP	PLP1	9606.ENSP00000377470	9606.ENSP00000481006	0	0	0	0	0.121	0	0	0.733	0.755
CNP	DNAJC7	9606.ENSP00000377470	9606.ENSP00000406463	0	0	0	0	0	0	0	0.757	0.757
CNP	MBP	9606.ENSP00000377470	9606.ENSP00000380958	0	0	0	0	0.158	0	0	0.819	0.841
GFAP	PLLP	9606.ENSP00000468500	9606.ENSP00000219207	0	0	0	0	0.512	0	0	0.111	0.548
GFAP	OLIG2	9606.ENSP00000468500	9606.ENSP00000331040	0	0	0	0	0.316	0	0	0.858	0.899
GFAP	MAG	9606.ENSP00000468500	9606.ENSP00000376048	0	0	0	0	0.494	0	0	0.540	0.757
GFAP	MBP	9606.ENSP00000468500	9606.ENSP00000380958	0	0	0	0	0.246	0	0	0.802	0.844
GFAP	PLP1	9606.ENSP00000468500	9606.ENSP00000481006	0	0	0	0	0.633	0	0	0.559	0.831
MAG	OLIG2	9606.ENSP00000376048	9606.ENSP00000331040	0	0	0	0	0.350	0	0	0.599	0.728
MAG	PLP1	9606.ENSP00000376048	9606.ENSP00000481006	0	0	0	0	0.423	0.379	0	0.703	0.884
MAG	MBP	9606.ENSP00000376048	9606.ENSP00000380958	0	0	0	0	0.325	0.379	0	0.877	0.944
MBP	OLIG2	9606.ENSP00000380958	9606.ENSP00000331040	0	0	0	0	0.136	0	0	0.825	0.842
MBP	PLP1	9606.ENSP00000380958	9606.ENSP00000481006	0	0	0	0	0.264	0.379	0	0.830	0.915
OLIG2	PLP1	9606.ENSP00000331040	9606.ENSP00000481006	0	0	0	0	0.230	0	0	0.666	0.732
PLLP	PLP1	9606.ENSP00000219207	9606.ENSP00000481006	0	0	0	0	0.520	0	0	0.471	0.735
