#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACO2	ATP5A1	9606.ENSP00000216254	9606.ENSP00000381736	0.050	0	0	0	0.367	0	0	0.660	0.777
ACO2	CYC1	9606.ENSP00000216254	9606.ENSP00000317159	0	0	0	0	0.608	0.128	0	0.545	0.831
ACO2	TIMM50	9606.ENSP00000216254	9606.ENSP00000445806	0	0	0	0	0.062	0	0.900	0	0.902
ACO2	TIMM9	9606.ENSP00000216254	9606.ENSP00000378588	0	0	0	0	0	0	0.900	0.098	0.905
ACO2	TIMM23	9606.ENSP00000216254	9606.ENSP00000464522	0	0	0	0	0.117	0	0.900	0	0.907
ACO2	TIMM10	9606.ENSP00000216254	9606.ENSP00000257245	0	0	0	0	0.053	0	0.900	0.132	0.910
ACO2	SLC25A6	9606.ENSP00000216254	9606.ENSP00000370808	0	0	0	0	0.188	0	0.900	0.324	0.940
ACO2	VDAC1	9606.ENSP00000216254	9606.ENSP00000265333	0	0	0	0	0.091	0	0.900	0.524	0.953
ACO2	ATP5B	9606.ENSP00000216254	9606.ENSP00000262030	0.042	0	0	0	0.608	0	0.900	0.767	0.990
ATP5A1	TIMM10	9606.ENSP00000381736	9606.ENSP00000257245	0	0	0	0	0	0	0.900	0.108	0.906
ATP5A1	ATP5B	9606.ENSP00000381736	9606.ENSP00000262030	0.120	0	0.447	0.592	0.998	0.971	0.900	0.963	0.999
ATP5A1	VDAC1	9606.ENSP00000381736	9606.ENSP00000265333	0	0	0	0	0.402	0.467	0.900	0.605	0.985
ATP5A1	CYC1	9606.ENSP00000381736	9606.ENSP00000317159	0	0	0	0	0.866	0.445	0	0.425	0.953
ATP5A1	SLC25A6	9606.ENSP00000381736	9606.ENSP00000370808	0	0	0	0	0.618	0	0.900	0.354	0.973
ATP5A1	TIMM9	9606.ENSP00000381736	9606.ENSP00000378588	0	0	0	0	0	0	0.900	0.042	0.900
ATP5A1	TIMM50	9606.ENSP00000381736	9606.ENSP00000445806	0	0	0	0	0.063	0	0.900	0	0.902
ATP5A1	TIMM23	9606.ENSP00000381736	9606.ENSP00000464522	0	0	0	0	0.157	0.128	0.900	0.050	0.920
ATP5B	PPIF	9606.ENSP00000262030	9606.ENSP00000225174	0	0	0	0	0.061	0.299	0	0.175	0.409
ATP5B	TIMM10	9606.ENSP00000262030	9606.ENSP00000257245	0	0	0	0	0.083	0	0.900	0.161	0.916
ATP5B	TIMM50	9606.ENSP00000262030	9606.ENSP00000445806	0	0	0	0	0.062	0.053	0.900	0.065	0.905
ATP5B	TIMM23	9606.ENSP00000262030	9606.ENSP00000464522	0	0	0	0	0.176	0	0.900	0.232	0.931
ATP5B	TIMM9	9606.ENSP00000262030	9606.ENSP00000378588	0	0	0	0	0.061	0	0.900	0.385	0.937
ATP5B	SLC25A6	9606.ENSP00000262030	9606.ENSP00000370808	0	0	0	0	0.640	0	0.900	0.513	0.981
ATP5B	VDAC1	9606.ENSP00000262030	9606.ENSP00000265333	0	0	0	0	0.559	0.368	0.900	0.461	0.983
ATP5B	CYC1	9606.ENSP00000262030	9606.ENSP00000317159	0	0	0	0	0.906	0.050	0.900	0.729	0.997
CYC1	TIMM10	9606.ENSP00000317159	9606.ENSP00000257245	0	0	0	0	0.165	0	0.900	0.066	0.915
CYC1	VDAC1	9606.ENSP00000317159	9606.ENSP00000265333	0	0	0	0	0.473	0.363	0.900	0.432	0.978
CYC1	TIMM9	9606.ENSP00000317159	9606.ENSP00000378588	0	0	0	0	0.071	0	0.900	0.138	0.912
CYC1	TIMM50	9606.ENSP00000317159	9606.ENSP00000445806	0	0	0	0	0.146	0	0.900	0.571	0.960
CYC1	SLC25A6	9606.ENSP00000317159	9606.ENSP00000370808	0	0	0	0	0.500	0.124	0.900	0.198	0.960
CYC1	TIMM23	9606.ENSP00000317159	9606.ENSP00000464522	0	0	0	0	0.487	0	0.900	0.346	0.963
PPIF	TIMM23	9606.ENSP00000225174	9606.ENSP00000464522	0	0	0	0	0.088	0	0	0.485	0.510
PPIF	SLC25A6	9606.ENSP00000225174	9606.ENSP00000370808	0	0	0	0	0.064	0.130	0.800	0.820	0.966
PPIF	VDAC1	9606.ENSP00000225174	9606.ENSP00000265333	0	0	0	0	0.061	0.390	0.900	0.842	0.989
SLC25A6	TIMM10	9606.ENSP00000370808	9606.ENSP00000257245	0	0	0	0	0.198	0.813	0.900	0.204	0.986
SLC25A6	VDAC1	9606.ENSP00000370808	9606.ENSP00000265333	0	0	0	0	0.118	0.329	0.800	0.791	0.972
SLC25A6	TIMM50	9606.ENSP00000370808	9606.ENSP00000445806	0	0	0	0	0.049	0.806	0.720	0.200	0.953
SLC25A6	TIMM23	9606.ENSP00000370808	9606.ENSP00000464522	0	0	0	0	0.093	0.183	0.900	0.458	0.954
SLC25A6	TIMM9	9606.ENSP00000370808	9606.ENSP00000378588	0	0	0	0	0.098	0.477	0.900	0.273	0.961
TIMM10	VDAC1	9606.ENSP00000257245	9606.ENSP00000265333	0	0	0	0	0.066	0	0	0.426	0.442
TIMM10	TIMM50	9606.ENSP00000257245	9606.ENSP00000445806	0	0	0	0	0.188	0	0.720	0.870	0.967
TIMM10	TIMM23	9606.ENSP00000257245	9606.ENSP00000464522	0	0	0	0	0.207	0.264	0.900	0.794	0.986
TIMM10	TIMM9	9606.ENSP00000257245	9606.ENSP00000378588	0	0	0	0	0.809	0.998	0.900	0.968	0.999
TIMM23	VDAC1	9606.ENSP00000464522	9606.ENSP00000265333	0	0	0	0	0.176	0.093	0.900	0.381	0.947
TIMM23	TIMM9	9606.ENSP00000464522	9606.ENSP00000378588	0	0	0	0	0.132	0.264	0.900	0.828	0.987
TIMM23	TIMM50	9606.ENSP00000464522	9606.ENSP00000445806	0	0	0	0	0.164	0.525	0.900	0.816	0.991
TIMM50	VDAC1	9606.ENSP00000445806	9606.ENSP00000265333	0	0	0	0	0.064	0	0	0.437	0.451
TIMM50	TIMM9	9606.ENSP00000445806	9606.ENSP00000378588	0	0	0	0	0.093	0	0	0.829	0.838
TIMM9	VDAC1	9606.ENSP00000378588	9606.ENSP00000265333	0	0	0	0	0.061	0	0	0.432	0.444
