#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CPLX1	RAB3A	9606.ENSP00000305613	9606.ENSP00000222256	0	0	0	0	0.465	0	0.900	0.484	0.970
CPLX1	STX1A	9606.ENSP00000305613	9606.ENSP00000222812	0	0	0	0	0.171	0.842	0.900	0.791	0.996
CPLX1	SNAP25	9606.ENSP00000305613	9606.ENSP00000254976	0	0	0	0	0.408	0.873	0.900	0.834	0.998
CPLX1	SYT1	9606.ENSP00000305613	9606.ENSP00000261205	0	0	0	0	0.493	0.775	0.900	0.851	0.998
CPLX1	SYN1	9606.ENSP00000305613	9606.ENSP00000295987	0	0	0	0	0.404	0	0.900	0.417	0.962
CPLX1	PPFIA3	9606.ENSP00000305613	9606.ENSP00000335614	0	0	0	0	0.305	0	0.900	0.221	0.941
CPLX1	RIMS1	9606.ENSP00000305613	9606.ENSP00000428417	0	0	0	0	0.194	0	0.900	0.367	0.944
CPLX1	UNC13B	9606.ENSP00000305613	9606.ENSP00000367756	0	0	0	0	0.111	0	0.900	0.609	0.962
CPLX1	SYN2	9606.ENSP00000305613	9606.ENSP00000480050	0	0	0	0	0.371	0	0.900	0.543	0.968
CPLX1	VAMP2	9606.ENSP00000305613	9606.ENSP00000314214	0	0	0	0	0.197	0.524	0.900	0.740	0.988
PPFIA3	RAB3A	9606.ENSP00000335614	9606.ENSP00000222256	0	0	0	0	0.230	0	0.900	0.433	0.952
PPFIA3	STX1A	9606.ENSP00000335614	9606.ENSP00000222812	0	0	0	0	0.156	0	0.900	0.305	0.936
PPFIA3	SNAP25	9606.ENSP00000335614	9606.ENSP00000254976	0	0	0	0	0.157	0	0.900	0.390	0.944
PPFIA3	SYT1	9606.ENSP00000335614	9606.ENSP00000261205	0	0	0	0	0.109	0	0.900	0.419	0.943
PPFIA3	SYN1	9606.ENSP00000335614	9606.ENSP00000295987	0	0	0	0	0.172	0	0.900	0.417	0.947
