#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIST1H2AC	HIST1H2BC	9606.ENSP00000367022	9606.ENSP00000321744	0	0	0	0	0.386	0.944	0	0.611	0.985
HIST1H2AC	HIST1H2AI	9606.ENSP00000367022	9606.ENSP00000351589	0	0	0	0.984	0.137	0.944	0	0.900	0.950
HIST1H2AC	HIST1H2AG	9606.ENSP00000367022	9606.ENSP00000352119	0	0	0	0.984	0.087	0.944	0	0.758	0.947
HIST1H2AC	HIST1H2AM	9606.ENSP00000367022	9606.ENSP00000352627	0	0	0	0.984	0.089	0.944	0	0.756	0.947
HIST1H2AC	HIST1H3H	9606.ENSP00000367022	9606.ENSP00000358160	0	0.001	0	0	0.301	0.597	0	0.288	0.782
HIST1H2AC	HIST1H3F	9606.ENSP00000367022	9606.ENSP00000484095	0	0.001	0	0	0.281	0.597	0	0.287	0.775
HIST1H2AC	HIST1H3I	9606.ENSP00000367022	9606.ENSP00000483283	0	0.001	0	0	0.388	0.597	0	0.288	0.809
HIST1H2AC	HIST2H3A	9606.ENSP00000367022	9606.ENSP00000385479	0	0.001	0	0	0.273	0.728	0	0.208	0.829
HIST1H2AC	HIST1H2AL	9606.ENSP00000367022	9606.ENSP00000482538	0	0	0	0.984	0.089	0.944	0	0.755	0.947
HIST1H2AC	HIST1H2AK	9606.ENSP00000367022	9606.ENSP00000482431	0	0	0	0.984	0.088	0.944	0	0.757	0.947
HIST1H2AG	HIST1H2BC	9606.ENSP00000352119	9606.ENSP00000321744	0	0	0	0	0.314	0.883	0	0.587	0.964
HIST1H2AG	HIST1H2AI	9606.ENSP00000352119	9606.ENSP00000351589	0	0	0	0.985	0.336	0.800	0	0	0.861
HIST1H2AG	HIST1H3I	9606.ENSP00000352119	9606.ENSP00000483283	0	0.001	0	0	0.269	0.375	0	0.587	0.795
HIST1H2AG	HIST1H3F	9606.ENSP00000352119	9606.ENSP00000484095	0	0.001	0	0	0.309	0.375	0	0.587	0.806
HIST1H2AG	HIST1H3H	9606.ENSP00000352119	9606.ENSP00000358160	0	0.001	0	0	0.334	0.375	0	0.588	0.813
HIST1H2AG	HIST1H2AK	9606.ENSP00000352119	9606.ENSP00000482431	0	0	0	0.985	0.140	0.800	0	0	0.820
HIST1H2AG	HIST1H2AL	9606.ENSP00000352119	9606.ENSP00000482538	0	0	0	0.985	0.198	0.800	0	0	0.832
HIST1H2AG	HIST1H2AM	9606.ENSP00000352119	9606.ENSP00000352627	0	0	0	0.985	0.214	0.800	0	0	0.836
HIST1H2AG	HIST2H3A	9606.ENSP00000352119	9606.ENSP00000385479	0	0.001	0	0	0.333	0.910	0	0.241	0.950
HIST1H2AI	HIST1H2BC	9606.ENSP00000351589	9606.ENSP00000321744	0	0	0	0	0.437	0.883	0	0.588	0.970
HIST1H2AI	HIST1H3I	9606.ENSP00000351589	9606.ENSP00000483283	0	0.001	0	0	0.384	0.375	0	0.568	0.819
HIST1H2AI	HIST1H3F	9606.ENSP00000351589	9606.ENSP00000484095	0	0.001	0	0	0.434	0.375	0	0.568	0.834
HIST1H2AI	HIST1H3H	9606.ENSP00000351589	9606.ENSP00000358160	0	0.001	0	0	0.467	0.375	0	0.569	0.844
HIST1H2AI	HIST1H2AK	9606.ENSP00000351589	9606.ENSP00000482431	0	0	0	0.985	0.262	0.800	0	0	0.846
HIST1H2AI	HIST1H2AM	9606.ENSP00000351589	9606.ENSP00000352627	0	0	0	0.985	0.398	0.800	0	0	0.874
HIST1H2AI	HIST1H2AL	9606.ENSP00000351589	9606.ENSP00000482538	0	0	0	0.985	0.526	0.800	0	0.647	0.902
HIST1H2AI	HIST2H3A	9606.ENSP00000351589	9606.ENSP00000385479	0	0.001	0	0	0.466	0.910	0	0.593	0.978
HIST1H2AK	HIST1H2BC	9606.ENSP00000482431	9606.ENSP00000321744	0	0	0	0	0.296	0.883	0	0.587	0.963
HIST1H2AK	HIST1H2AM	9606.ENSP00000482431	9606.ENSP00000352627	0	0	0	0.985	0.181	0.800	0	0	0.829
HIST1H2AK	HIST1H3H	9606.ENSP00000482431	9606.ENSP00000358160	0	0.001	0	0	0.270	0.375	0	0.587	0.795
HIST1H2AK	HIST2H3A	9606.ENSP00000482431	9606.ENSP00000385479	0	0.001	0	0	0.306	0.910	0	0.240	0.948
HIST1H2AK	HIST1H3F	9606.ENSP00000482431	9606.ENSP00000484095	0	0.001	0	0	0.298	0.375	0	0.587	0.803
HIST1H2AK	HIST1H3I	9606.ENSP00000482431	9606.ENSP00000483283	0	0.001	0	0	0.331	0.375	0	0.587	0.812
HIST1H2AK	HIST1H2AL	9606.ENSP00000482431	9606.ENSP00000482538	0	0	0	0.985	0.213	0.800	0	0	0.835
HIST1H2AL	HIST1H2BC	9606.ENSP00000482538	9606.ENSP00000321744	0	0	0	0	0.529	0.883	0	0.590	0.975
HIST1H2AL	HIST1H2AM	9606.ENSP00000482538	9606.ENSP00000352627	0	0	0	0.985	0.333	0.800	0	0	0.860
HIST1H2AL	HIST1H3H	9606.ENSP00000482538	9606.ENSP00000358160	0	0.001	0	0	0.317	0.375	0	0.574	0.802
HIST1H2AL	HIST2H3A	9606.ENSP00000482538	9606.ENSP00000385479	0	0.001	0	0	0.405	0.910	0	0.600	0.976
HIST1H2AL	HIST1H3F	9606.ENSP00000482538	9606.ENSP00000484095	0	0.001	0	0	0.600	0.375	0	0.574	0.884
HIST1H2AL	HIST1H3I	9606.ENSP00000482538	9606.ENSP00000483283	0	0.001	0	0	0.606	0.375	0	0.574	0.886
HIST1H2AM	HIST1H2BC	9606.ENSP00000352627	9606.ENSP00000321744	0	0	0	0	0.382	0.883	0	0.590	0.967
HIST1H2AM	HIST1H3I	9606.ENSP00000352627	9606.ENSP00000483283	0	0.001	0	0	0.392	0.375	0	0.574	0.824
HIST1H2AM	HIST1H3H	9606.ENSP00000352627	9606.ENSP00000358160	0	0.001	0	0	0.408	0.375	0	0.574	0.828
HIST1H2AM	HIST1H3F	9606.ENSP00000352627	9606.ENSP00000484095	0	0.001	0	0	0.433	0.375	0	0.574	0.836
HIST1H2AM	HIST2H3A	9606.ENSP00000352627	9606.ENSP00000385479	0	0.001	0	0	0.405	0.910	0	0.600	0.976
