#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C7orf57	PPP1R32	9606.ENSP00000335500	9606.ENSP00000344140	0	0	0	0	0	0	0	0.652	0.652
C7orf57	FAM222A	9606.ENSP00000335500	9606.ENSP00000443292	0	0	0	0	0	0	0	0.660	0.660
DDHD1	FAM222A	9606.ENSP00000327104	9606.ENSP00000443292	0	0	0	0	0	0	0	0.615	0.615
DDHD1	DDHD2	9606.ENSP00000327104	9606.ENSP00000380352	0	0	0	0.603	0.055	0	0.900	0.799	0.932
DDHD2	FAM222A	9606.ENSP00000380352	9606.ENSP00000443292	0	0	0	0	0	0	0	0.617	0.617
FAM222A	MEIS1	9606.ENSP00000443292	9606.ENSP00000272369	0	0	0	0	0	0.825	0	0	0.825
FAM222A	PPP1R32	9606.ENSP00000443292	9606.ENSP00000344140	0	0	0	0	0	0	0	0.652	0.652
FAM222A	PBX3	9606.ENSP00000443292	9606.ENSP00000362588	0	0	0	0	0	0.828	0	0	0.828
FAM222A	PBX2	9606.ENSP00000443292	9606.ENSP00000364190	0	0	0	0	0	0.696	0	0	0.696
FAM222A	MAB21L1	9606.ENSP00000443292	9606.ENSP00000369251	0	0	0	0	0	0.830	0	0	0.830
FAM222A	PBX1	9606.ENSP00000443292	9606.ENSP00000405890	0	0	0	0	0	0.828	0	0	0.828
FAM222A	MEIS2	9606.ENSP00000443292	9606.ENSP00000453793	0	0	0	0	0	0.859	0	0	0.859
MAB21L1	MEIS1	9606.ENSP00000369251	9606.ENSP00000272369	0	0	0	0	0.102	0.864	0	0.216	0.896
MAB21L1	PBX3	9606.ENSP00000369251	9606.ENSP00000362588	0	0	0	0	0.063	0.830	0	0.049	0.835
MAB21L1	PBX2	9606.ENSP00000369251	9606.ENSP00000364190	0	0	0	0	0.063	0.842	0	0.049	0.846
MAB21L1	PBX1	9606.ENSP00000369251	9606.ENSP00000405890	0	0	0	0	0.084	0.842	0	0.049	0.850
MAB21L1	MEIS2	9606.ENSP00000369251	9606.ENSP00000453793	0	0	0	0	0.109	0.873	0	0.150	0.895
MEIS1	PBX2	9606.ENSP00000272369	9606.ENSP00000364190	0	0	0	0.581	0.063	0.630	0	0.778	0.755
MEIS1	PBX3	9606.ENSP00000272369	9606.ENSP00000362588	0	0	0	0.578	0.063	0.760	0	0.790	0.843
MEIS1	PBX1	9606.ENSP00000272369	9606.ENSP00000405890	0	0	0	0.581	0.091	0.760	0.900	0.892	0.985
MEIS1	MEIS2	9606.ENSP00000272369	9606.ENSP00000453793	0	0	0	0.979	0.091	0.994	0	0.764	0.994
MEIS2	PBX3	9606.ENSP00000453793	9606.ENSP00000362588	0	0	0	0.572	0.063	0.948	0	0.728	0.965
MEIS2	PBX2	9606.ENSP00000453793	9606.ENSP00000364190	0	0	0	0.575	0.063	0.934	0	0.760	0.956
MEIS2	PBX1	9606.ENSP00000453793	9606.ENSP00000405890	0	0	0	0.575	0.084	0.934	0	0.774	0.957
