#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CNP	OLIG2	9606.ENSP00000377470	9606.ENSP00000331040	0	0	0	0	0.101	0	0	0.659	0.681
CNP	MOG	9606.ENSP00000377470	9606.ENSP00000366095	0	0	0	0	0.108	0	0	0.600	0.629
CNP	MAG	9606.ENSP00000377470	9606.ENSP00000376048	0	0	0	0	0.153	0	0	0.742	0.772
CNP	GFAP	9606.ENSP00000377470	9606.ENSP00000468500	0	0	0	0	0.148	0	0	0.680	0.716
CNP	PLP1	9606.ENSP00000377470	9606.ENSP00000481006	0	0	0	0	0.121	0	0	0.733	0.755
CNP	MBP	9606.ENSP00000377470	9606.ENSP00000380958	0	0	0	0	0.158	0	0	0.819	0.841
CTDSPL	MBP	9606.ENSP00000273179	9606.ENSP00000380958	0	0	0	0	0	0.933	0	0.050	0.933
GFAP	MAPK1	9606.ENSP00000468500	9606.ENSP00000215832	0	0	0	0	0.061	0.054	0	0.400	0.420
GFAP	OLIG2	9606.ENSP00000468500	9606.ENSP00000331040	0	0	0	0	0.316	0	0	0.858	0.899
GFAP	MAP2	9606.ENSP00000468500	9606.ENSP00000353508	0	0	0	0	0.230	0	0	0.795	0.835
GFAP	MOG	9606.ENSP00000468500	9606.ENSP00000366095	0	0	0	0	0.357	0	0	0.597	0.730
GFAP	MAG	9606.ENSP00000468500	9606.ENSP00000376048	0	0	0	0	0.494	0	0	0.540	0.757
GFAP	MBP	9606.ENSP00000468500	9606.ENSP00000380958	0	0	0	0	0.246	0	0	0.802	0.844
GFAP	PLP1	9606.ENSP00000468500	9606.ENSP00000481006	0	0	0	0	0.633	0	0	0.559	0.831
MAG	OLIG2	9606.ENSP00000376048	9606.ENSP00000331040	0	0	0	0	0.350	0	0	0.599	0.728
MAG	MAP2	9606.ENSP00000376048	9606.ENSP00000353508	0	0	0	0	0.199	0	0	0.330	0.440
MAG	MOG	9606.ENSP00000376048	9606.ENSP00000366095	0	0	0	0	0.380	0	0	0.740	0.832
MAG	PLP1	9606.ENSP00000376048	9606.ENSP00000481006	0	0	0	0	0.423	0.379	0	0.703	0.884
MAG	MBP	9606.ENSP00000376048	9606.ENSP00000380958	0	0	0	0	0.325	0.379	0	0.877	0.944
MAP2	OLIG2	9606.ENSP00000353508	9606.ENSP00000331040	0	0	0	0	0.118	0	0	0.510	0.549
MAP2	MBP	9606.ENSP00000353508	9606.ENSP00000380958	0	0	0	0	0.092	0	0	0.807	0.818
MAPK1	MBP	9606.ENSP00000215832	9606.ENSP00000380958	0	0	0	0	0	0.472	0	0.723	0.848
MBP	OLIG2	9606.ENSP00000380958	9606.ENSP00000331040	0	0	0	0	0.136	0	0	0.825	0.842
MBP	MOK	9606.ENSP00000380958	9606.ENSP00000355304	0	0	0	0	0	0	0	0.901	0.901
MBP	MOG	9606.ENSP00000380958	9606.ENSP00000366095	0	0	0	0	0.162	0	0	0.893	0.907
MBP	PLP1	9606.ENSP00000380958	9606.ENSP00000481006	0	0	0	0	0.264	0.379	0	0.830	0.915
MOG	OLIG2	9606.ENSP00000366095	9606.ENSP00000331040	0	0	0	0	0.184	0	0	0.575	0.638
MOG	PLP1	9606.ENSP00000366095	9606.ENSP00000481006	0	0	0	0	0.231	0	0	0.736	0.788
OLIG2	PLP1	9606.ENSP00000331040	9606.ENSP00000481006	0	0	0	0	0.230	0	0	0.666	0.732
