#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACADL	EHHADH	9606.ENSP00000233710	9606.ENSP00000231887	0.048	0	0	0	0.123	0.085	0.900	0.608	0.964
ACADL	HMGCS2	9606.ENSP00000233710	9606.ENSP00000358414	0	0	0	0	0.061	0	0	0.535	0.545
ACADL	HADH	9606.ENSP00000233710	9606.ENSP00000474560	0.071	0.002	0.257	0	0.230	0	0	0.590	0.753
ACADL	ACADS	9606.ENSP00000233710	9606.ENSP00000242592	0	0	0.429	0.814	0.143	0	0.800	0.811	0.859
ACADL	ACADVL	9606.ENSP00000233710	9606.ENSP00000438689	0	0	0.375	0.725	0.158	0	0.800	0.800	0.875
ACADL	ACADM	9606.ENSP00000233710	9606.ENSP00000359871	0	0	0.412	0.779	0.460	0	0.800	0.800	0.915
ACADL	HADHA	9606.ENSP00000233710	9606.ENSP00000370023	0.048	0	0	0	0.123	0.085	0.900	0.612	0.964
ACADL	HADHB	9606.ENSP00000233710	9606.ENSP00000325136	0.055	0	0	0	0.176	0	0.900	0.608	0.965
ACADM	HSD17B10	9606.ENSP00000359871	9606.ENSP00000168216	0	0	0	0	0.268	0	0	0.298	0.464
ACADM	EHHADH	9606.ENSP00000359871	9606.ENSP00000231887	0.048	0	0	0	0.123	0.085	0.900	0.786	0.980
ACADM	ACADS	9606.ENSP00000359871	9606.ENSP00000242592	0	0	0.444	0.858	0.082	0	0.800	0.833	0.841
ACADM	HMGCS1	9606.ENSP00000359871	9606.ENSP00000322706	0	0	0	0	0	0	0	0.409	0.409
ACADM	HADHB	9606.ENSP00000359871	9606.ENSP00000325136	0.055	0	0	0	0.590	0	0.900	0.753	0.989
ACADM	HMGCS2	9606.ENSP00000359871	9606.ENSP00000358414	0	0	0	0	0.061	0	0	0.599	0.607
ACADM	ACADVL	9606.ENSP00000359871	9606.ENSP00000438689	0	0	0.433	0.730	0.211	0	0.800	0.817	0.885
ACADM	HADH	9606.ENSP00000359871	9606.ENSP00000474560	0.071	0	0.374	0	0.298	0	0.800	0.743	0.975
ACADM	HADHA	9606.ENSP00000359871	9606.ENSP00000370023	0.048	0	0	0	0.264	0.085	0.900	0.722	0.978
ACADS	HSD17B10	9606.ENSP00000242592	9606.ENSP00000168216	0	0	0	0	0.064	0	0	0.408	0.422
ACADS	EHHADH	9606.ENSP00000242592	9606.ENSP00000231887	0.048	0	0	0	0.123	0.085	0.900	0.567	0.960
ACADS	ACADVL	9606.ENSP00000242592	9606.ENSP00000438689	0	0	0.441	0.812	0.218	0	0	0.920	0.403
ACADS	HADH	9606.ENSP00000242592	9606.ENSP00000474560	0.071	0.003	0.370	0	0.556	0	0	0.753	0.927
ACADS	HADHA	9606.ENSP00000242592	9606.ENSP00000370023	0.048	0	0	0	0.123	0.085	0.900	0.694	0.972
ACADS	HADHB	9606.ENSP00000242592	9606.ENSP00000325136	0.055	0	0	0	0.461	0	0.900	0.667	0.980
ACADVL	EHHADH	9606.ENSP00000438689	9606.ENSP00000231887	0.048	0	0	0	0.123	0.085	0.900	0.572	0.961
ACADVL	HADHB	9606.ENSP00000438689	9606.ENSP00000325136	0.055	0	0	0	0.213	0	0.900	0.709	0.975
ACADVL	HMGCS2	9606.ENSP00000438689	9606.ENSP00000358414	0	0	0	0	0.061	0	0	0.519	0.529
ACADVL	HADHA	9606.ENSP00000438689	9606.ENSP00000370023	0.048	0	0	0	0.202	0.085	0.900	0.750	0.979
ACADVL	HADH	9606.ENSP00000438689	9606.ENSP00000474560	0.071	0	0.355	0	0.117	0	0	0.718	0.831
EHHADH	HSD17B10	9606.ENSP00000231887	9606.ENSP00000168216	0	0	0	0	0.129	0	0.900	0.229	0.927
EHHADH	HADHA	9606.ENSP00000231887	9606.ENSP00000370023	0	0	0.299	0.748	0.062	0	0.900	0.617	0.922
EHHADH	HMGCS1	9606.ENSP00000231887	9606.ENSP00000322706	0.072	0	0	0	0.062	0	0.900	0.314	0.932
EHHADH	HADH	9606.ENSP00000231887	9606.ENSP00000474560	0.072	0	0	0.726	0.137	0	0.900	0.850	0.933
EHHADH	HMGCS2	9606.ENSP00000231887	9606.ENSP00000358414	0.072	0	0	0	0.064	0	0.900	0.578	0.958
