#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COX4I1	COX6B1	9606.ENSP00000457513	9606.ENSP00000246554	0	0	0	0	0.504	0.817	0.900	0.696	0.996
COX4I1	COX5B	9606.ENSP00000457513	9606.ENSP00000258424	0	0	0	0	0.937	0.869	0.900	0.761	0.999
COX4I1	UQCRFS1	9606.ENSP00000457513	9606.ENSP00000306397	0	0	0	0	0.622	0.869	0.540	0.577	0.989
COX4I1	CYCS	9606.ENSP00000457513	9606.ENSP00000307786	0	0	0	0	0.253	0.809	0.900	0.901	0.998
COX4I1	COX5A	9606.ENSP00000457513	9606.ENSP00000317780	0	0	0	0	0.923	0.878	0.900	0.780	0.999
COX4I1	MT-CO1	9606.ENSP00000457513	9606.ENSP00000354499	0	0	0	0	0.176	0.408	0.900	0.863	0.992
COX4I1	MT-CO2	9606.ENSP00000457513	9606.ENSP00000354876	0	0	0	0	0.437	0.994	0.900	0.750	0.999
COX4I1	MT-CO3	9606.ENSP00000457513	9606.ENSP00000354982	0	0	0	0	0.135	0.731	0.900	0.593	0.989
COX4I1	COX7C	9606.ENSP00000457513	9606.ENSP00000425759	0	0	0	0	0.693	0.733	0.900	0.674	0.996
COX4I1	COX6C	9606.ENSP00000457513	9606.ENSP00000428895	0	0	0	0	0.860	0.832	0.900	0.652	0.999
COX5A	COX6B1	9606.ENSP00000317780	9606.ENSP00000246554	0	0	0	0	0.857	0.842	0.900	0.753	0.999
COX5A	COX5B	9606.ENSP00000317780	9606.ENSP00000258424	0	0	0	0	0.949	0.870	0.900	0.869	0.999
COX5A	UQCRFS1	9606.ENSP00000317780	9606.ENSP00000306397	0	0	0	0	0.930	0.799	0.540	0.572	0.996
COX5A	CYCS	9606.ENSP00000317780	9606.ENSP00000307786	0	0	0	0	0.688	0.796	0.900	0.718	0.997
COX5A	MT-CO1	9606.ENSP00000317780	9606.ENSP00000354499	0	0	0	0	0.124	0.830	0.900	0.768	0.996
COX5A	MT-CO3	9606.ENSP00000317780	9606.ENSP00000354982	0	0	0	0	0.088	0.793	0.900	0.870	0.997
COX5A	MT-CO2	9606.ENSP00000317780	9606.ENSP00000354876	0	0	0	0	0.317	0.998	0.900	0.860	0.999
COX5A	COX7C	9606.ENSP00000317780	9606.ENSP00000425759	0	0	0	0	0.934	0.737	0.900	0.781	0.999
COX5A	COX6C	9606.ENSP00000317780	9606.ENSP00000428895	0	0	0	0	0.936	0.815	0.900	0.781	0.999
