#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	APOE	9606.ENSP00000260408	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0.530	0.950
ADAM10	APBB1	9606.ENSP00000260408	9606.ENSP00000477213	0	0	0	0	0	0	0	0.427	0.427
ADAM10	PSEN1	9606.ENSP00000260408	9606.ENSP00000326366	0	0	0	0	0.103	0	0	0.829	0.840
ADAM10	BACE1	9606.ENSP00000260408	9606.ENSP00000318585	0	0	0	0	0.081	0	0	0.857	0.863
ADAM10	APP	9606.ENSP00000260408	9606.ENSP00000284981	0	0	0	0	0.062	0.190	0.900	0.868	0.988
APBA1	PSEN1	9606.ENSP00000265381	9606.ENSP00000326366	0	0	0	0	0	0.379	0	0.268	0.525
APBA1	APBB1	9606.ENSP00000265381	9606.ENSP00000477213	0	0	0	0	0.119	0	0	0.627	0.658
APBA1	APP	9606.ENSP00000265381	9606.ENSP00000284981	0	0	0	0	0.205	0.971	0	0.713	0.993
APBB1	APOE	9606.ENSP00000477213	9606.ENSP00000252486	0	0	0	0	0	0	0	0.694	0.694
APBB1	SORL1	9606.ENSP00000477213	9606.ENSP00000260197	0	0	0	0	0.062	0	0	0.528	0.538
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0	0	0	0.091	0.974	0.800	0.956	0.999
APBB1	BACE1	9606.ENSP00000477213	9606.ENSP00000318585	0	0	0	0	0.079	0	0	0.653	0.667
APBB1	PSEN1	9606.ENSP00000477213	9606.ENSP00000326366	0	0	0	0	0	0	0	0.559	0.559
APOE	SNCA	9606.ENSP00000252486	9606.ENSP00000338345	0	0	0	0	0.062	0	0	0.580	0.589
APOE	BACE1	9606.ENSP00000252486	9606.ENSP00000318585	0	0	0	0	0.061	0	0	0.680	0.686
APOE	PSEN1	9606.ENSP00000252486	9606.ENSP00000326366	0	0	0	0	0.060	0	0	0.863	0.866
APOE	SORL1	9606.ENSP00000252486	9606.ENSP00000260197	0	0	0	0	0	0.305	0.540	0.733	0.907
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0	0	0.099	0	0.720	0.832	0.953
APOE	APP	9606.ENSP00000252486	9606.ENSP00000284981	0	0	0	0	0.071	0.379	0.900	0.937	0.995
APP	SORL1	9606.ENSP00000284981	9606.ENSP00000260197	0	0	0	0	0.063	0.379	0.900	0.914	0.994
APP	SNCA	9606.ENSP00000284981	9606.ENSP00000338345	0	0	0	0	0.063	0.555	0.900	0.684	0.985
APP	CLU	9606.ENSP00000284981	9606.ENSP00000315130	0	0	0	0	0.115	0.379	0.900	0.794	0.987
APP	ITM2B	9606.ENSP00000284981	9606.ENSP00000367828	0	0	0	0	0.087	0.472	0.900	0.801	0.989
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0	0	0	0.089	0.406	0.900	0.958	0.997
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0	0	0	0	0.461	0.900	0.974	0.998
BACE1	SORL1	9606.ENSP00000318585	9606.ENSP00000260197	0	0	0	0	0.062	0.083	0	0.680	0.701
BACE1	CLU	9606.ENSP00000318585	9606.ENSP00000315130	0	0	0	0	0.076	0	0	0.446	0.466
BACE1	SNCA	9606.ENSP00000318585	9606.ENSP00000338345	0	0	0	0	0	0	0	0.416	0.416
BACE1	ITM2B	9606.ENSP00000318585	9606.ENSP00000367828	0	0	0	0	0	0	0	0.622	0.622
BACE1	PSEN1	9606.ENSP00000318585	9606.ENSP00000326366	0	0	0	0	0	0.379	0	0.935	0.958
CLU	SORL1	9606.ENSP00000315130	9606.ENSP00000260197	0	0	0	0	0.064	0.080	0.540	0.700	0.865
CLU	PSEN1	9606.ENSP00000315130	9606.ENSP00000326366	0	0	0	0	0	0	0	0.668	0.668
ITM2B	PSEN1	9606.ENSP00000367828	9606.ENSP00000326366	0	0	0	0	0	0	0	0.479	0.479
PSEN1	SORL1	9606.ENSP00000326366	9606.ENSP00000260197	0	0	0	0	0.083	0	0	0.704	0.717
PSEN1	SNCA	9606.ENSP00000326366	9606.ENSP00000338345	0	0	0	0	0	0	0	0.555	0.555
