#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA1	ACADL	9606.ENSP00000333664	9606.ENSP00000233710	0.055	0	0	0	0.158	0	0.900	0.452	0.950
ACAA1	ACADS	9606.ENSP00000333664	9606.ENSP00000242592	0.055	0	0	0	0.225	0	0.900	0.766	0.980
ACAA1	ACAT1	9606.ENSP00000333664	9606.ENSP00000265838	0	0	0.447	0.767	0.090	0	0.900	0.897	0.932
ACAA1	ACAA2	9606.ENSP00000333664	9606.ENSP00000285093	0	0	0.447	0.845	0.085	0	0.800	0.788	0.843
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0.055	0	0	0	0.371	0	0.900	0.869	0.991
ACAA1	HADHB	9606.ENSP00000333664	9606.ENSP00000325136	0	0	0.436	0.797	0.091	0	0.800	0.491	0.842
ACAA1	ACAT2	9606.ENSP00000333664	9606.ENSP00000356015	0	0	0.448	0.860	0.086	0	0.900	0.762	0.919
ACAA1	ACADM	9606.ENSP00000333664	9606.ENSP00000359871	0.055	0	0	0	0.162	0	0.900	0.730	0.975
ACAA1	ACADVL	9606.ENSP00000333664	9606.ENSP00000438689	0.055	0	0	0	0.201	0	0.900	0.723	0.976
ACAA1	HADHA	9606.ENSP00000333664	9606.ENSP00000370023	0.057	0.047	0	0	0.166	0.296	0.900	0.655	0.977
ACAA2	ACADL	9606.ENSP00000285093	9606.ENSP00000233710	0.055	0	0	0	0.189	0	0.900	0.589	0.964
ACAA2	ACADS	9606.ENSP00000285093	9606.ENSP00000242592	0.055	0	0	0	0.205	0	0.900	0.821	0.984
ACAA2	ACAT1	9606.ENSP00000285093	9606.ENSP00000265838	0	0	0.448	0.870	0.187	0.512	0.900	0.930	0.964
ACAA2	ACAT2	9606.ENSP00000285093	9606.ENSP00000356015	0	0	0.448	0.899	0.090	0	0.900	0.731	0.915
ACAA2	HADHB	9606.ENSP00000285093	9606.ENSP00000325136	0	0	0.443	0.808	0.552	0	0.800	0.706	0.925
ACAA2	ACOX1	9606.ENSP00000285093	9606.ENSP00000293217	0.055	0	0	0	0.158	0	0.900	0.565	0.960
ACAA2	ACADVL	9606.ENSP00000285093	9606.ENSP00000438689	0.055	0	0	0	0.209	0	0.900	0.757	0.979
ACAA2	HADHA	9606.ENSP00000285093	9606.ENSP00000370023	0.057	0.019	0	0	0.289	0.296	0.900	0.732	0.985
ACAA2	ACADM	9606.ENSP00000285093	9606.ENSP00000359871	0.055	0	0	0	0.850	0	0.900	0.794	0.996
ACADL	ACAT1	9606.ENSP00000233710	9606.ENSP00000265838	0.055	0	0	0	0.365	0	0	0.126	0.429
ACADL	ACADS	9606.ENSP00000233710	9606.ENSP00000242592	0	0	0.429	0.814	0.143	0	0.800	0.811	0.859
ACADL	ACADVL	9606.ENSP00000233710	9606.ENSP00000438689	0	0	0.375	0.725	0.158	0	0.800	0.800	0.875
ACADL	ACADM	9606.ENSP00000233710	9606.ENSP00000359871	0	0	0.412	0.779	0.460	0	0.800	0.800	0.915
ACADL	ACOX1	9606.ENSP00000233710	9606.ENSP00000293217	0	0	0	0	0.065	0	0.800	0.637	0.926
ACADL	HADHA	9606.ENSP00000233710	9606.ENSP00000370023	0.048	0	0	0	0.123	0.085	0.900	0.612	0.964
ACADL	HADHB	9606.ENSP00000233710	9606.ENSP00000325136	0.055	0	0	0	0.176	0	0.900	0.608	0.965
ACADM	ACADS	9606.ENSP00000359871	9606.ENSP00000242592	0	0	0.444	0.858	0.082	0	0.800	0.833	0.841
ACADM	ACAT1	9606.ENSP00000359871	9606.ENSP00000265838	0.055	0	0	0	0.422	0	0.900	0.326	0.958
ACADM	ACOX1	9606.ENSP00000359871	9606.ENSP00000293217	0	0	0	0	0.082	0	0.800	0.780	0.956
ACADM	HADHB	9606.ENSP00000359871	9606.ENSP00000325136	0.055	0	0	0	0.590	0	0.900	0.753	0.989
ACADM	ACAT2	9606.ENSP00000359871	9606.ENSP00000356015	0.055	0	0	0	0.158	0	0.900	0.144	0.922
ACADM	ACADVL	9606.ENSP00000359871	9606.ENSP00000438689	0	0	0.433	0.730	0.211	0	0.800	0.817	0.885
ACADM	HADHA	9606.ENSP00000359871	9606.ENSP00000370023	0.048	0	0	0	0.264	0.085	0.900	0.722	0.978
ACADS	ACADVL	9606.ENSP00000242592	9606.ENSP00000438689	0	0	0.441	0.812	0.218	0	0	0.920	0.403
ACADS	ACOX1	9606.ENSP00000242592	9606.ENSP00000293217	0	0	0	0.562	0.064	0	0.800	0.573	0.852
ACADS	ACAT2	9606.ENSP00000242592	9606.ENSP00000356015	0.055	0	0	0	0.438	0	0.900	0.304	0.958
ACADS	HADHA	9606.ENSP00000242592	9606.ENSP00000370023	0.048	0	0	0	0.123	0.085	0.900	0.694	0.972
ACADS	ACAT1	9606.ENSP00000242592	9606.ENSP00000265838	0.055	0	0	0	0.438	0	0.900	0.548	0.972
ACADS	HADHB	9606.ENSP00000242592	9606.ENSP00000325136	0.055	0	0	0	0.461	0	0.900	0.667	0.980
ACADVL	ACOX1	9606.ENSP00000438689	9606.ENSP00000293217	0	0	0	0	0.077	0	0.800	0.640	0.927
ACADVL	HADHB	9606.ENSP00000438689	9606.ENSP00000325136	0.055	0	0	0	0.213	0	0.900	0.709	0.975
ACADVL	HADHA	9606.ENSP00000438689	9606.ENSP00000370023	0.048	0	0	0	0.202	0.085	0.900	0.750	0.979
ACAT1	HADHB	9606.ENSP00000265838	9606.ENSP00000325136	0	0	0.441	0.771	0.244	0	0.900	0.716	0.940
ACAT1	ACOX1	9606.ENSP00000265838	9606.ENSP00000293217	0.055	0	0	0	0.158	0	0.900	0.345	0.940
ACAT1	ACAT2	9606.ENSP00000265838	9606.ENSP00000356015	0	0	0.448	0.902	0.098	0.692	0.800	0.909	0.947
ACAT1	HADHA	9606.ENSP00000265838	9606.ENSP00000370023	0.057	0.009	0	0	0.158	0.296	0.900	0.797	0.986
ACAT2	ACOX1	9606.ENSP00000356015	9606.ENSP00000293217	0.055	0	0	0	0.158	0	0.900	0.399	0.945
ACAT2	HADHB	9606.ENSP00000356015	9606.ENSP00000325136	0	0	0.439	0.761	0.088	0	0.900	0.634	0.926
ACAT2	HADHA	9606.ENSP00000356015	9606.ENSP00000370023	0.057	0.022	0	0	0.129	0.296	0.900	0.617	0.973
ACOX1	HADHA	9606.ENSP00000293217	9606.ENSP00000370023	0.048	0	0	0	0.123	0.085	0.900	0.579	0.961
ACOX1	HADHB	9606.ENSP00000293217	9606.ENSP00000325136	0.055	0	0	0	0.158	0	0.900	0.605	0.964
HADHA	HADHB	9606.ENSP00000370023	9606.ENSP00000325136	0.057	0.042	0.315	0	0.984	0.996	0.900	0.918	0.999
