#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASNS	GPT2	9606.ENSP00000175506	9606.ENSP00000345282	0.045	0	0	0	0.083	0	0	0.501	0.525
ASNS	GLUD2	9606.ENSP00000175506	9606.ENSP00000327589	0	0	0	0	0.109	0	0	0.544	0.577
ASNS	GLUD1	9606.ENSP00000175506	9606.ENSP00000277865	0	0	0	0	0.109	0	0	0.562	0.593
ASNS	CAD	9606.ENSP00000175506	9606.ENSP00000264705	0.126	0	0	0	0.146	0	0.900	0.420	0.950
ASNS	GOT2	9606.ENSP00000175506	9606.ENSP00000245206	0	0	0	0	0.084	0	0.900	0.634	0.963
CAD	GOT2	9606.ENSP00000264705	9606.ENSP00000245206	0.051	0	0	0	0.135	0.064	0.900	0.425	0.947
GLUD1	GOT2	9606.ENSP00000277865	9606.ENSP00000245206	0	0	0	0	0.167	0.472	0.900	0.732	0.986
GLUD1	MDH1	9606.ENSP00000277865	9606.ENSP00000438144	0.049	0	0	0	0.137	0	0.800	0.629	0.931
GLUD1	IDH1	9606.ENSP00000277865	9606.ENSP00000390265	0	0	0	0	0.108	0.183	0.800	0.604	0.934
GLUD1	MDH2	9606.ENSP00000277865	9606.ENSP00000327070	0.049	0	0	0	0.209	0	0.800	0.684	0.946
GLUD1	GPT	9606.ENSP00000277865	9606.ENSP00000378408	0.059	0	0	0	0.090	0	0.900	0.511	0.952
GLUD1	IDH2	9606.ENSP00000277865	9606.ENSP00000331897	0	0	0	0	0.108	0.183	0.900	0.587	0.965
GLUD1	GPT2	9606.ENSP00000277865	9606.ENSP00000345282	0.059	0	0	0	0.090	0	0.900	0.658	0.966
GLUD1	GLUD2	9606.ENSP00000277865	9606.ENSP00000327589	0	0	0.449	0.986	0	0.943	0.900	0.786	0.994
GLUD2	GOT2	9606.ENSP00000327589	9606.ENSP00000245206	0	0	0	0	0.127	0.185	0.900	0.668	0.973
GLUD2	MDH2	9606.ENSP00000327589	9606.ENSP00000327070	0.049	0	0	0	0.169	0	0.800	0.653	0.937
GLUD2	MDH1	9606.ENSP00000327589	9606.ENSP00000438144	0.049	0	0	0	0.099	0	0.800	0.498	0.902
GLUD2	IDH1	9606.ENSP00000327589	9606.ENSP00000390265	0	0	0	0	0.108	0.183	0.800	0.433	0.906
GLUD2	GPT	9606.ENSP00000327589	9606.ENSP00000378408	0.059	0	0	0	0.090	0	0.900	0.464	0.948
GLUD2	IDH2	9606.ENSP00000327589	9606.ENSP00000331897	0	0	0	0	0.108	0.183	0.900	0.419	0.952
GLUD2	GPT2	9606.ENSP00000327589	9606.ENSP00000345282	0.059	0	0	0	0.090	0	0.900	0.538	0.955
GOT2	IDH1	9606.ENSP00000245206	9606.ENSP00000390265	0	0	0	0	0.558	0	0.800	0.485	0.950
GOT2	IDH2	9606.ENSP00000245206	9606.ENSP00000331897	0	0	0	0	0.558	0	0.800	0.539	0.955
GOT2	GPT	9606.ENSP00000245206	9606.ENSP00000378408	0	0	0	0	0.100	0	0.800	0.806	0.962
GOT2	GPT2	9606.ENSP00000245206	9606.ENSP00000345282	0	0	0	0	0.100	0	0.800	0.820	0.964
GOT2	MDH1	9606.ENSP00000245206	9606.ENSP00000438144	0	0	0	0	0.260	0.050	0.900	0.742	0.979
GOT2	MDH2	9606.ENSP00000245206	9606.ENSP00000327070	0	0	0	0	0.606	0.384	0.900	0.768	0.993
GPT	MDH2	9606.ENSP00000378408	9606.ENSP00000327070	0.051	0	0	0	0.145	0	0	0.430	0.497
GPT	IDH2	9606.ENSP00000378408	9606.ENSP00000331897	0.041	0	0	0	0.148	0	0.800	0.279	0.866
GPT	GPT2	9606.ENSP00000378408	9606.ENSP00000345282	0	0	0.445	0.974	0.062	0	0.800	0.776	0.810
GPT	IDH1	9606.ENSP00000378408	9606.ENSP00000390265	0.041	0	0	0	0.129	0	0.800	0.266	0.861
GPT2	MDH2	9606.ENSP00000345282	9606.ENSP00000327070	0.051	0	0	0	0.145	0	0	0.617	0.662
GPT2	IDH2	9606.ENSP00000345282	9606.ENSP00000331897	0.041	0	0	0	0.129	0	0.800	0.422	0.890
GPT2	MDH1	9606.ENSP00000345282	9606.ENSP00000438144	0.051	0	0	0	0.064	0	0	0.446	0.465
GPT2	IDH1	9606.ENSP00000345282	9606.ENSP00000390265	0.041	0	0	0	0.129	0	0.800	0.388	0.884
IDH1	MDH2	9606.ENSP00000390265	9606.ENSP00000327070	0.075	0	0	0	0.229	0.475	0	0.789	0.910
IDH1	IDH2	9606.ENSP00000390265	9606.ENSP00000331897	0	0	0.449	0.972	0.057	0.883	0.800	0.964	0.976
IDH1	MDH1	9606.ENSP00000390265	9606.ENSP00000438144	0.075	0	0	0	0.216	0.180	0	0.822	0.880
IDH2	MDH2	9606.ENSP00000331897	9606.ENSP00000327070	0.075	0	0	0	0.460	0.180	0	0.826	0.919
IDH2	MDH1	9606.ENSP00000331897	9606.ENSP00000438144	0.075	0	0	0	0.176	0.180	0	0.801	0.859
MDH1	MDH2	9606.ENSP00000438144	9606.ENSP00000327070	0	0	0	0	0.456	0	0.900	0.905	0.994
