#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATP5A1	ATP5D	9606.ENSP00000381736	9606.ENSP00000215375	0.295	0	0	0	0.773	0.969	0.900	0.923	0.999
ATP5A1	ATP5B	9606.ENSP00000381736	9606.ENSP00000262030	0.120	0	0.447	0.592	0.998	0.971	0.900	0.963	0.999
ATP5A1	ATP5O	9606.ENSP00000381736	9606.ENSP00000290299	0.219	0	0	0	0.995	0.966	0.900	0.787	0.999
ATP5A1	ATP5J2	9606.ENSP00000381736	9606.ENSP00000292475	0	0	0	0	0.937	0.969	0.900	0.466	0.999
ATP5A1	ATP5L	9606.ENSP00000381736	9606.ENSP00000300688	0	0	0	0	0.388	0.949	0.900	0.598	0.998
ATP5A1	ATP5H	9606.ENSP00000381736	9606.ENSP00000301587	0	0	0	0	0.826	0.971	0.900	0.799	0.999
ATP5A1	ATP5I	9606.ENSP00000381736	9606.ENSP00000306003	0	0	0	0	0.384	0.968	0.900	0.487	0.998
ATP5A1	ATP5C1	9606.ENSP00000381736	9606.ENSP00000349142	0.295	0	0.436	0	0.959	0.972	0.900	0.923	0.999
ATP5A1	ATP5F1	9606.ENSP00000381736	9606.ENSP00000358737	0	0	0	0	0.991	0.998	0.900	0.838	0.999
ATP5A1	ATP5J	9606.ENSP00000381736	9606.ENSP00000389649	0	0	0	0	0.298	0.834	0.900	0.546	0.994
ATP5B	ATP5D	9606.ENSP00000262030	9606.ENSP00000215375	0.120	0	0	0	0.908	0.969	0.900	0.903	0.999
ATP5B	ATP5L	9606.ENSP00000262030	9606.ENSP00000300688	0	0	0	0	0.592	0.920	0.900	0.617	0.998
ATP5B	ATP5J	9606.ENSP00000262030	9606.ENSP00000389649	0	0	0	0	0.282	0.957	0.900	0.558	0.998
ATP5B	ATP5I	9606.ENSP00000262030	9606.ENSP00000306003	0	0	0	0	0.532	0.959	0.900	0.455	0.998
ATP5B	ATP5J2	9606.ENSP00000262030	9606.ENSP00000292475	0	0	0	0	0.947	0.958	0.900	0.434	0.999
